Conference,2018,2019,2020,2021,2022,2023
TACAS 2018 - International Conference on Tools and Algorithms for the Construction and Analysis of Systems,SUMO (1),,,,,
TACAS 2019 - 25th International Conference on Tools and Algorithms for the Construction and Analysis of Systems,,VERIDIS (1) CASH (1) DELYS (1) CONVECS (1),,,,
TACAS 2019 - International Conference on Tools and Algorithms for the Construction and Analysis of Systems,,VERIDIS (1),,,,
TACAS 2020 - 26th International Conference on Tools and Algorithms for the Construction and Analysis of Systems,,,TOCCATA (1),,,
TACAS 2020 - Tools and Algorithms for the Construction and Analysis of Systems,,,CONVECS (1),,,
TACAS 2021 - 27th International Conference on Tools and Algorithms for the Construction and Analysis of Systems,,,,VERIDIS (1),,
TACAS 2023,,,,,,VERIDIS (1)
TACAS 2023 - 29th International Conference on Tools and Algorithms for the Construction and Analysis of Systems,,,,,,SUMO (2)
TAL & IA 2021,,,,HeKA (1),,
TAL et Linguistique de corpus,,,,SEMAGRAMME (1),,
TALN + RECITAL 2022 - 29e Conférence sur le Traitement Automatique des Langues Naturelles. 24e Rencontres Etudiants Chercheurs en Informatique pour le pour le Traitement Automatique des Langues (RECITAL),,,,,SEMAGRAMME (1),
TALN 2018 - Conférence sur le Traitement Automatique des Langues Naturelles,HYCOMES (1),,,,,
TALN 2019 - 26e Conference on Traitement Automatique des Langues Naturelles,,LinkMedia (1),,,,
TALN 2021 - 28e Conférence sur le Traitement Automatique des Langues Naturelles,,,,SEMAGRAMME (1) ORPAILLEUR (1) MULTISPEECH (1) LinkMedia (1),,
TALN 2021 - Traitement Automatique des Langues Naturelles,,,,ALMAnaCH (1),,
TALN 2022 - 29e Conférence sur le Traitement Automatique des Langues Naturelles,,,,,LACODAM (1),
TALN 2022 - 29e conférence sur le Traitement Automatique des Langues Naturelles,,,,,LinkMedia (2),
TALN 2022 - 29° conférence sur le Traitement Automatique des Langues Naturelles,,,,,ALMAnaCH (1),
TALN 2022 - Traitement Automatique des Langues Naturelles,,,,,ALMAnaCH (1) LinkMedia (1),
TALN-RECITAL 2019 - 26e édition de la conférence TALN (Traitement Automatique des Langues Naturelles) et 21e édition de la conférence jeunes chercheur·euse·s RECITAL,,ALMAnaCH (1),,,,
TALN-RECITAL 2019 - 26ème Conférence sur le Traitement Automatique des Langues Naturelles,,ALMAnaCH (1),,,,
TAMC 2019 -  15th Annual Conference Theory and Applications of Models of Computation,,TOCCATA (1),,,,
TAP 2018 - 12th International Conference on Tests and Proofs,FUN (1),,,,,
TAP 2021 - 15th International Conference on Tests and Proofs,,,,VERIDIS (1),,
TAPAS 2019 - 10th Workshop on Tools for Automatic Program Analysis,,CASH (1),,,,
TAROS 2022 - Towards Autonomous Robotic Systems,,,,,LARSEN (1),
TASE 2019 - 13th International Symposium on Theoretical Aspects of Software Engineering,,KAIROS (1),,,,
TASE 2020 -  14th International Symposium on Theoretical Aspects of Software Engineering,,,KAIROS (1),,,
TCC 2018 - 16th International Conference on Theory of Cryptography,ARIC (1),,,,,
TCC 2018 - Theory of Cryptography Conference,ARIC (1) CASCADE (1),,,,,
TCC 2019 - 17th International Conference on Theory of Cryptography,,PolSys (1),,,,
TCC 2021 - 19th International Conference Theory of Cryptography,,,,ARIC (1),,
TCC 2021: Theory of Cryptography,,,,CASCADE (1),,
TCC 2023,,,,,,CASCADE (1)
TDC 2022 - 17th IFAC Workshop on Time Delay Systems,,,,,DISCO (1),
TDS 2021 - 16th IFAC Workshop on Time Delay Systems,,,,DISCO (6),,
TDS 2022 - 17th IFAC Workshop on Time Delay Systems,,,,,DISCO (6) McTAO (1) FACTAS (1),
TDWG 2020 annual conference,,,WIMMICS (1),,,
TDWG 2021 annual virtual conference,,,,WIMMICS (1),,
TDWG 2022 - The Biodiversity Information Standards annual conference,,,,,WIMMICS (1),
"TEASE-LP 2020 - Workshop on Trends, Extensions, Applications and Semantics of Logic Programming",,,STAMP (1),,,
"TEI 2019: What is text, really? TEI and beyond",,ALMAnaCH (1),,,,
"TEI 2021 - 15th ACM International Conference on Tangible, Embedded and Embodied Interaction",,,,TRiBE (1),,
TEI 2022 - Text Encoding Initiative 2022 Conference,,,,,ALMAnaCH (1),
TEI 2022 conference : Text as data,,,,,ALMAnaCH (1),
TEI 2023 - 17th International Conference on Tangible Embedded and Embodied Interaction,,,,,,Potioc (1)
TEI Conference and Members' Meeting,ALMAnaCH (3),,,,,
TELFOR 2020 - 28th Telecommunications Forum,,,EVA (1),,,
TEMU: Télédétection pour l'Etude des Milieux Urbains,LEMON (1),,,,,
TERMGRAPH 2018 - 10th International Workshop on Computing with Terms and Graphs,DEDUCTEAM (1),,,,,
THCon 2022 - Toulouse Hacking Convention,,,,,CIDRE (1),
THE 24th CONFERENCE of the ROMANIAN SOCIETY of PROBABILITY and STATISTICS,,,,,,MODAL (1)
"THMT 2023 - 10th International Symposium on Turbulence, Heat and Mass Transfer",,,,,,CAGIRE (3)
"THMT-18  - 9th International Symposium on Turbulence, Heat and Mass Transfer",CAGIRE (1),,,,,
TILECS - Towards an Infrastructure for Large-Scale Experimental Computer Science,,RESIST (1),,,,
TIME 2022 - 29th International Symposium on Temporal Representation and Reasoning,,,,,SUMO (1) CORSE (1) BEAGLE (1),
TIME 2023 - 30th International Symposium on Temporal Representation and Reasoning,,,,,,SUMO (1)
TLA+ Community Event 2020,,,VERIDIS (2),,,
TLLA 2021 - 5th International Workshop on Trends in Linear Logic and Applications,,,,DEDUCTEAM (1),,
TLT 2019 - 18th International Workshop on Treebanks and Linguistic Theories,,SEMAGRAMME (1) ALMAnaCH (1),,,,
"TLT 2021 - 20th International Workshop on Treebanks and Linguistic Theories. 21-25 March 2021, Sofia, Bulgaria",,,,SEMAGRAMME (1),,
TMA 2018 - Experts Summit in Network Traffic Measurement and Analysis Conference,DIONYSOS (1),,,,,
TNTN 2020 - Workshop on Theoretical and Numerical Tools for Nanophotonics,,,NACHOS (1),,,
TOM 2023 - Theory-of-Mind Workshop at PMLR-202,,,,,,Flowers (1)
TOOLS 2019 - 51st International Conference on Software Technology: Methods and Tools,,CONVECS (1),,,,
TOSME 2021,,,,POLARIS (1),,
TPDL 2018 - 22nd International Conference on Theory and Practice of Digital Libraries,DANTE (1),,,,,
TPNC 2019 - 8th International Conference on Theory and Practice of Natural Computing,,GRAPHIK (1),,,,
"TPRC 46: The 46th Research Conference on Communication, Information and Internet Policy",MIMOVE (1),,,,,
"TQC 2023: 18th Theory of Quantum Computation, Communication and Cryptography",,,,,,MOCQUA (1)
TRA 2018 - Transport Research Arena,RITS (1),,,,,
"TRA 2018, 7th Transport Research Arena",I4S (1),,,,,
"TRAC-2020, Second Workshop on Trolling, Aggression and Cyberbullying (LREC, 2020)",,,MULTISPEECH (1),,,
TRB 2018 - Transportation Research Board 97th Annual Meeting,NECS (1),,,,,
TRB 2019 - 98th Annual Meeting Transportation Research Board,,NECS-POST (1),,,,
TRB 2019 - Annual Meeting on Transportation Research Board,,MIMETIC (1),,,,
TRISTAN 19 - The Tenth Triennial Symposium on Transportation Analysis,,INOCS (1),,,,
TRISTAN X  - The Tenth Triennial Symposium on Transportation Analysis,,Realopt (1),,,,
TRISTAN X-Triennial Symposium on Transportation Analysis,,INOCS (1),,,,
TRISTAN XI 2022 - 11th Triennial Symposium on Transportation Analysis,,,,,INOCS (1),
TRISTAN2022 - 11th Triennial Symposium on Transportation Analysis,,,,,INOCS (1),
"TRUSTCOM 2019 - 18th IEEE International Conference on Trust, Security and Privacy in Computing and Communications",,PRIVATICS (1),,,,
"TSD 2019 - 22nd International Conference of Text, Speech and Dialogue",,MULTISPEECH (1),,,,
"TSD 2020 - Twenty-third International Conference on Text, Speech and Dialogue",,,MULTISPEECH (1),,,
"TSD 2021 - 24th International Conference on Text, Speech and Dialogue",,,,MULTISPEECH (2),,
"TSD 2022 - 25th International Conference on Text, Speech and Dialogue",,,,,MULTISPEECH (1),
TTO 2022 - Truth and Trust Online,,,,,CEDAR (1),
TYPES 2019 - 25th International Conference on Types for Proofs and Programs,,DEDUCTEAM (1),,,,
TYPES 2019: 25th International Conference on Types for Proofs and Programs,,LS2N - équipe GALLINETTE (1),,,,
TYPES 2020 - 26th International Conference on Types for Proofs and Programs,,,LS2N - équipe GALLINETTE (1) DEDUCTEAM (1),,,
TYPES 2022 - 28th International Conference on Types for Proofs and Programs,,,,,,FOCUS (1)
TYPES 2022 - 28th International Conference on Types for Proofs and Programs (TYPES),,,,,,DEDUCTEAM (1)
TYPES 2023 - 29th International Conference on Types for Proofs and Programs,,,,,,GALLINETTE (4) DEDUCTEAM (1) TOCCATA (1)
Tech M&A 2019 - Minalogic Technical Conference,,CHROMA (1),,,,
Technical Program RTSI 2018 ─ 4th International Forum on Research and Technologies for Society and Industry,WIMMICS (1),,,,,
Telecommunications Forum (TELFOR),,FUN (1),,,,
Telomeres & Telomerase,,,,MAMBA (1),,
Tenth International Conference on Computational Fluid Dynamics (ICCFD10),POLARIS (1),,,,,
Tenth NASA Formal Methods Symposium - NFM 2018,FUN (1),,,,,
"Tenth Workshop on NLP for Similar Languages, Varieties and Dialects (VarDial 2023)",,,,,,ALMAnaCH (1)
Tetrahedron Workshop VI,,CARDAMOM (1),,,,
"Text2KG 2023: International Workshop on Knowledge Graph Generation from Text, Co-located with the ESWC 2023",,,,,,MIMOVE (1)
The 10th Annual Chapel Implementers and Users Workshop,,,,,,BONUS (1)
The 10th International Conference on Complex Networks and their Applications,,,,,CAPSID (1),
The 11th IEEE International Symposium on Topics in Coding (ISTC 2021),,,,STORM (1),,
The 11th International Conference of the ERCIM WG on Computational and Methodological Statistics (CMStatistics 2018),MODAL (3) SELECT (1),,,,,
The 11th International Conference on Multiphase Flow,,,,,,CAGIRE (1)
The 12th International Conference On Functional Imaging And Modeling Of The Heart,,,,,,TANGRAM (1)
The 12th International Conference on Complex Networks and their Applications,,,,,,SIMBIOTX (1)
The 12th International Conference on Complex Networks and their Applications - CNA 2023,,,,,,COATI (1) CRONOS (1)
The 12th Joint Conference on Lexical and Computational Semantics,,,,,,MAGNET (1)
The 13th World Conference on Injury Prevention and Safety Promotion (Safety 2018),SISTM (1),,,,,
The 14th Professor Aleksander Zeliaś International Conference on Modelling and Forecasting of Socio-Economic Phenomena,,,,MODAL (1) MOKAPLAN (1) MAASAI (1) CELESTE (1),,
The 15th ACM International Conference on Distributed and Event-based Systems (DEBS ’21),,,,CEDAR (1),,
The 15th IEEE International Conference on Ubiquitous Intelligence and Computing (UIC 2018),PHOENIX-POST (1),,,,,
The 15th International Conference on Computational Semantics (IWCS 2023),,,,,,SEMAGRAMME (1)
The 15th International Conference on Concept Lattices and Their Applications,,,ORPAILLEUR (1),,,
The 15th International Symposium on Foundations & Practice of Security,,,,,PESTO (1),
"The 16th International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob2020)",,,RESIST (1),,,
The 17th Conference of the European Chapter of the Association for Computational Linguistics (EACL 2023),,,,,,SEMAGRAMME (1)
The 17th International Semantic Web Conference (ISWC 2018),TYREX (1),,,,,
The 1st International Workshop on Mathematical Tools and technologies for IoT and mMTC Networks Modeling,,SEQUEL (1),,,,
The 2021 International Conference on Management of Data (SIGMOD '21),,,,LINKS (1),,
The 2022 IEEE Spoken Language Technology Workshop (SLT 2022),,,,,,MULTISPEECH (1)
The 2023 ACM SIGSAC Conference on Computer and Communications Security,,,,,,SPIRALS (1) CEDAR (1)
The 2023 Conference on Artificial Life,,,,,,Flowers (1)
The 2023 Conference on Empirical Methods in Natural Language Processing,,,,,,ALMAnaCH (1) CoML (1)
"The 2023 Conference on Empirical Methods in Natural Language Processing, EMNLP 2023 Main",,,,,,STATIFY (1)
The 2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2023),,,,,,WILLOW (1)
"The 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)",,,,,,ALMAnaCH (1)
The 22nd IEEE/WIC International Conference on Web Intelligence and Intelligent Agent Technology,,,,,,WIMMICS (1)
The 22nd International Conference on Artificial Intelligence and Statistics,,MODAL (1),,,,
The 22nd International Symposium on Wireless Personal Multimedia Communications,,RESIST (1),,,,
The 22nd Nordic Conference on Computational Linguistics (NoDaLiDa’19),,ALMAnaCH (1),,,,
The 22nd Workshop on Biomedical Natural Language Processing and BioNLP Shared Tasks,,,,,,ALMAnaCH (1)
The 22nd workshop on the Semantics and Pragmatics of Dialogue,SEMAGRAMME (1),,,,,
The 23rd Conference of the International Federation of Operational Research Societies,,,,,,INOCS (1)
The 23rd International Symposium on Mathematical Theory of Networks and Systems,FACTAS (1),,,,,
The 24th International Conference on  Artificial Intelligence and Statistics (AISTATS 2021),,,,MODAL (1),,
The 24th International Conference on Artificial Intelligence and Statistics,,,,MAGNET (1),,
The 24th International Middleware Conference: Industrial Track (Middleware '23),,,,,,Whisper (1) BENAGIL (1)
The 26th International Conference on Collaboration Technologies and Social Computing (CollabTech 2020),,,COAST (1),,,
"The 26th International Symposium on Research in Attacks, Intrusions and Defenses (RAID )",,,,,,CIDRE (1)
The 27th Asia-Pacific Software Engineering Conference,,,VERIDIS (1),,,
The 28th International Euro-Par Conference 2022,,,,,TADAAM (1),
The 2nd Workshop on Information Extraction from Scientific Publications at IJCNLP-AACL 2023,,,,,,VALDA (1)
The 30th International Conference on Algorithmic Learning Theory (ALT 2019),,SIERRA (1) CELESTE (1),,,,
The 33rd Annual Symposium on Logic in Computer Science,MOCQUA (1),,,,,
"The 33rd Annual {ACM/IEEE} Symposium on Logic in Computer Science, {LICS} 2018",MOCQUA (1),,,,,
The 33rd International Conference on Algorithmic Learning Theory,,,,FAIRPLAY (1),,
The 37th ACM/SIGAPP Symposium On Applied Computing,,,,,SYCOMORES (1),
The 37th ACM/SIGAPP Symposium On Applied Computing (SAC),,,,,CIDRE (1),
The 37th International Symposium on Computational Geometry (SoCG),,,,OURAGAN (1),,
The 39th Conference on Uncertainty in Artificial Intelligence (UAI),,,,,,LARSEN (1)
The 39th IEEE International Symposium on Reliable Distributed Systems (SRDS ’20),,,WIDE (1),,,
The 3rd Educational Knowledge Management Workshop (EKM 2018),WIMMICS (1),,,,,
The 4th International Workshop on Designing Meaning Representation,,,,,,SEMAGRAMME (1)
The 4th Workshop on Programming Models for SIMD/Vector Processing (WPMVP 2018),STORM (1),,,,,
The 5th ACM International Symposium on Blockchain and Secure Critical Infrastructure (BSCI 2023),,,,,,COAST (1) RESIST (1)
The 5th International Conference on Applied Category Theory 2022,,,,,MOCQUA (1),
The 5th International Conference on Renewable Energy and Environment Engineering,,,,,VALSE (1),
The 5th International Workshop on Middleware and Applications for the Internet of Things (M4IoT),MIMOVE (1),,,,,
The 5th Workshop on Noisy User-generated Text (W-NUT),,ALMAnaCH (1),,,,
The 60th Conference on Decision and Control,,,,DEFROST (1) VALSE (1),,
The 6th INFORMS Transportation Science and Logistics Society Workshop,INOCS (1),,,,,
The 6th International workshop on Software Defined Networks and Network Function Virtualization 2022 (SDN-NFV2022),,,,,AVALON (1),
The 7th International Conference on Complex Networks and Their Applications (Complex Networks),GALEN-POST (1),,,,,
The 8th Annual Chapel Implementers and Users Workshop,,,,BONUS (1),,
The 8th European Congress on Computational Methods in Applied Sciences and Engineering ECCOMAS Congress 2022,,,,,MAKUTU (1),
"The 8th International Workshop ""What can FCA do for Artificial Intelligence?""",,,ORPAILLEUR (1),,,
"The 9th International Conference on Social Networks Analysis, Management and Security",,,,,PESTO (1),
The Art of Modelling Computational Systems: A Journey from Logic and Concurrency to Security and Privacy,,FOCUS (1),,,,
The Art of Modelling Computational Systems: A Journey from Logic and Concurrency to Security and Privacy - Essays Dedicated to Catuscia Palamidessi on the Occasion of Her 60th Birthday,,FOCUS (1),,,,
The Challenges of Lightweight Cryptanalysis,SECRET (1),,,,,
The Coq Workshop 2020,,,TOCCATA (1),,,
The Coq Workshop 2023,,,,,,STAMP (1)
The E-Vote-ID Conference 2023,,,,,,PESTO (1) CARAMBA (1)
The Eleventh International Conference on Fun with Algorithms (FUN 2022),,,,,COATI (1),
The Eleventh International Conference on Learning Representations,,,,,,DANTE (1) OCKHAM (1)
The Ernst Selmer International Workshop,,,,,COSMIQ (1),
The European Conference on Computer Vision,GALEN-POST (1),,,,,
The Fifteenth European Conference on Computer Systems (EuroSys),,,BENAGIL (1),,,
The Fourth International Workshop on Coq for Programming Languages,MARELLE (1),,,,,
The Future of Academic Lexicography: Linguistic Knowledge Codification in the Era of Big Data and AI,,ALMAnaCH (1),,,,
The Hamlyn Symposium on Medical Robotics,,,,,,MIMESIS (1)
The IEEE Pacific Visualization Symposium (PacificVis),,,,,,AVIZ (1) ILDA (1)
The International Conference for Electronic Voting (E-Vote-ID 2022),,,,,PESTO (1) CARAMBA (1),
The International Conference on Cloud Computing and Services Science (CLOSER),,,,,,AVALON (1)
The International Conference on Networked Systems,GALLIUM (1),,,,,
The International Conference on Software Maintenance and Evolution (ICSME),,SPIRALS (1),,,,
The International Industrial & Academic Conference on Blockchain Technology - Chain-In,CIDRE (1),,,,,
"The International Symposium on Intelligent and Trustworthy Computing, Communications, and Networking (ITCCN-2023), in conjunction with the 22nd IEEE International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom-2023)",,,,,,COAST (1)
The Rank Prize Funds - Symposium on The retinal processing of natural signals,,BIOVISION (1),,,,
The Russian-French seminar on Big Data applications,ORPAILLEUR (1),,,,,
The Second AAAI Workshop on Privacy-Preserving Artificial Intelligence (PPAI).,,,MULTISPEECH (1),,,
The Speaker and Language Recognition Workshop (Odyssey 2022),,,,,MULTISPEECH (1),
"The Tenth Congress of Romanian Mathematicians, 2023",,,,,,MODAL (1)
The Tenth International Conference on Learning Representations,,,,,Thoth (1),
The Thirty-Seventh Annual Conference on Neural Information Processing Systems (NeurIPS),,,,,,SIERRA (1)
The Twelfth International Workshop on Coding and Cryptography (WCC 2022),,,,,TAMIS (1) CAPSULE (1),
The Web Conference,CEDAR (1),,SPIRALS (1),,,
The Web Conference 2018,CAMUS (1) CELTIQUE (1),,,,,
"The Web Conference 2018 - alternate paper tracks ""Journalism, Misinformation and Fact Checking""",CEDAR (1),,,,,
"The Web Conference 2019 - International Workshop on Misinformation, Computational Fact-Checking and Credible Web",,CEDAR (1),,,,
The Web Conference 2020,,,SPIRALS (1),,,
The Web Conference 2020 -  DevTrack,,,WIMMICS (1),,,
The Web Conference 2023,,,,,,SPIRALS (1) DiverSe (1)
The XIth Scientific Assembly of the International Association of Hydrological Sciences (IAHS 2022),,,,,LEMON (2),
The annual TEI Conference and Members Meeting,ALMAnaCH (1),,,,,
The contribution of Mathematical Sciences in supporting robust disease prevention and modelling in Africa,,,MODAL (1),,,
Thematic Month on Mathematical Issues in Biology - Mathematics of complex systems in biology and medicine,,,MUSCA (1),,,
Thematic Month on Mathematical Issues in Biology - Networks and molecular biology,,,MUSCA (1),,,
Thematic school FTMS 2022 - Fourier Transform Mass Spectrometry: treatment of ultra high resolution data,,,,,MODAL (1),
Theoretical Aspects of Computing - {ICTAC} 2019 - 16th International                Colloquium,,VERIDIS (1),,,,
Theory and Applications of Satisfiability Testing – SAT 2019,,LINKS (1),,,,
Theory and practice of using information technologies in the context of digital transformation of education,,,,,,Mnemosyne (1)
Theory of Cryptography Conference (TCC),,,,,,COSMIQ (1)
"Theory of Cryptography, TCC 2023",,,,,,LFANT (1) ARIC (1) CANARI (1)
Theory to Practice (T2P),,,,,,MODAL (1)
Third AAAI Workshop on Privacy-Preserving Artificial Intelligence (PPAI-22),,,,,TAU (1),
Third Conference on Artificial Intelligence and Theorem Proving (AITP'2018),PARSIFAL (1),,,,,
Third International Conference on Intelligent Computing in Data Sciences,,CIDRE (1),,,,
Third Workshop on Computational Approaches to Linguistic Code-switching,MULTISPEECH (1),,,,,
Third workshop on compressible multiphase flows Strasbourg,,,,CAGIRE (1),,
Thirteenth Language Resources and Evaluation Conference - LREC 2022,,,,,ALMAnaCH (1),
Thirty Sixth Conference on Learning Theory,,,,,,Scool (1)
Thirty-Fifth Conference on Neural Information Processing Systems,,,,Scool (1),,
Thirty-First International Joint Conference on Artificial Intelligence {IJCAI-22},,,,,WIMMICS (1),
Thirty-Ninth Conference on Uncertainty in Artificial Intelligence,,,,,,MARACAS (1)
Thirty-Third AAAI Conference on Artificial Intelligence (AAAI-19),,VALDA (1),,,,
Thirty-fifth Conference on Neural Information Processing Systems Datasets and Benchmarks Track (Round 1),,,,,TAU (1),
Thirty-seventh Annual Conference on Neural Information Processing Systems (NeurIPS),,,,,,OCKHAM (1)
Thirty-seventh Conference on Neural Information Processing Systems,,,,,,Scool (1) OCKHAM (1)
Thirty-sixth Conference on Neural Information Processing Systems,,,,,CELESTE (1) MIND (1),
Thirty-sixth International Conference on Machine Learning,,SIERRA (1) CELESTE (1),,,,
TiCSA 2023 - First Workshop on Trends in Configurable Systems Analysis - TiCSA@ETAPS 2023,,,,,,FOCUS (1) OLAS (1)
ToTh 2022 - Terminology & Ontology: Theories and applications,,,,,ALMAnaCH (1),
"Tools and Algorithms for the Construction and Analysis of Systems  - 28th International Conference, TACAS 2022",,,,,VERIDIS (1),
Tools and Algorithms for the Construction and Analysis of Systems (TACAS 2023),,,,,,VERIDIS (1) SYCOMORES (1)
Tools and Algorithms for the Construction and Analysis of Systems (TACAS),,,,,,TOCCATA (1)
"Topical Workshop ""Computational Aspects of Time Dependent Electromagnetic Wave Problems in Complex Materials"", ICERM",NACHOS (1),,,,,
Topics in Cryptology – CT-RSA 2019,,CASCADE (1),,,,
TopoInVis 2019 - Topological Methods in Data Analysis and Visualization,,PARIETAL (1) ILDA (1),,,,
"Topology, Algebra, and Categories in Logic (TACL 2022)",,,,,SEMAGRAMME (1),
Traitement Automatique des Langues Naturelles,,,,,ALMAnaCH (1),
Traitement Automatique des Langues Naturelles (TALN 2022),,,,,LinkMedia (1),
Traitement automatique du langage naturel,,LinkMedia (1),,,,
"Traitements automatiques pour les humanités numériques - corpus d’histoire de l’art, d’enseignement,  d’urbanisme",,,,,,ALMAnaCH (1)
TransImage 2018 - 5th Biennial Transdisciplinary Imaging Conference,AVIZ (1),,,,,
"Transkribus / eScriptorium : Transcrire, annoter et éditer numériquement des documents d’archives",,,,,ALMAnaCH (1),
Transport Research Arena TRA 2020,,,I4S (1),,,
"TrustBus 2019 - 16th International Conference on Trust, Privacy and Security in Digital Business",,PESTO (1),,,,
"TrustCom 2019 - 18th IEEE International Conference on Trust, Security and Privacy in Computing and Communications",,TAMIS (1),,,,
"TrustCom 2019 - The 18th IEEE International Conference on Trust, Security and Privacy in Computing and Communications / BigDataSE 2019 - 13th IEEE International Conference on Big Data Science and Engineering",,PETRUS (1),,,,
"TrustCom 2020 - 19th IEEE International Conference on Trust, Security and Privacy in Computing and Communications",,,DiverSe (1),,,
"TrustCom 2020 - IEEE 19th International Conference on Trust, Security and Privacy in Computing and Communications",,,,LACODAM (1),,
Trustworthy AI 2021 - 1st International Workshop on Trustworthy AI for Multimedia Computing,,,,LinkMedia (1),,
Twefth Conference on Advances in Modal Logic,PROSECCO (1),,,,,
Twelfth IEEE/ACM International Symposium on Networks-on-Chip (NOCS),CAIRN (1),,,,,
Twenty-Eighth International Joint Conference on Artificial Intelligence (IJCAI),,SPIRALS (1),,,,
Twenty-Seventh International Joint Conference on Artificial Intelligence {IJCAI-18},WIMMICS (1),,,,,
UAI 2018 - Conference on Uncertainty in Artificial Intelligence,SIERRA (1),,,,,
UAI 2018 - Conference on Uncertainty in Artificial Intelligence 2018,SIERRA (1),,,,,
UAI 2020 - Conference on Uncertainty in Artificial Intelligence,,,PARIETAL (2) MODAL (1),,,
UAI 2021 - 37th Conference on Uncertainty in Artificial Intelligence,,,,PRIVATICS (1) TYREX (1),,
UAI 2022 - 38th Conference on Uncertainty in Artificial Intelligence,,,,,MIND (1),
UAI 2022- Proceedings of the Thirty-Eighth Conference on Uncertainty in Artificial Intelligence,,,,,Scool (1),
UAI 2023 - The 39th Conference on Uncertainty in Artificial Intelligence -,,,,,,OPIS (1)
UBTCN’19 - Workshop on Ultra-high Broadband Terahertz Communication for 5G and Beyond networks in conjunction with IEEE INFOCOM 2019,,FUN (1),,,,
UCA Complex Days,BIOVISION (1),,,,,
UCA Complex Days 2023,,,,,,BIOCORE (1) MACBES (1)
UCC 2018 : 11th IEEE/ACM Conference on Utility and Cloud Computing,LS2N - équipe STACK (1) CORSE (1),,,,,
UCC 2019 - 12th IEEE/ACM International Conference on Utility and Cloud Computing,,MYRIADS (2),,,,
UCC 2020 - 13th IEEE/ACM International Conference on Utility and Cloud Computing,,,MYRIADS (1) DiverSe (1),,,
UCC 2023 - International Conference on Utility and Cloud Computing,,,,,,STACK (1)
"UDW, Universal Dependencies Workshop 2019, Syntaxfest",,ALMAnaCH (1),,,,
UERMMI - UbiComp/ISWC’18 Adjunct,Potioc (1),,,,,
UGA-McMaster joint workshop 2022,,,,,STATIFY (1),
UIC 2021 - 18th IEEE International Conference on Ubiquitous Intelligence and Computing,,,,PHOENIX-POST (1),,
UIST '23: The 36th Annual ACM Symposium on User Interface Software and Technology,,,,,,LOKI (1)
UIST 2018 - 31st ACM Symposium on User Interface Software and Technology,EX-SITU (2),,,,,
UIST 2019 - 32nd ACM User Interface Software and Technology,,ILDA (1),,,,
UIST 2020 - ACM Symposium on User Interface Software and Technology,,,LOKI (1),,,
UIST 2020 - The 33rd Annual ACM Symposium on User Interface Software and Technology,,,EX-SITU (1),,,
UIST 2023 - 36th Annual ACM Symposium on User Interface Software and Technology,,,,,,EX-SITU (1)
UIST 2023 - The 36th Annual ACM Symposium on User Interface Software and Technology,,,,,,EX-SITU (1)
UIST’19 - 32nd ACM Symposium on User interface software and technology,,Potioc (1),,,,
"UMAP 2023 - 31st ACM Conference on User Modeling, Adaptation and Personalization",,,,,,WIMMICS (1) PRIVATICS (1) KAIROS (1)
UNCECOMP 2019 - 3rd International Conference on Uncertainty Quantification in Computational Sciences and Engineering,,DeFI (1) FLUMINANCE (1),,,,
UNCECOMP 2021 - 4th International Conference on Uncertainty Quantification in Computational Sciences and Engineering,,,,AIRSEA (1),,
UNCECOMP 2023 - 5th International Conference on Uncertainty Quantification in Computational Science and Engineering,,,,,,I4S (1)
UNIF 2018 - 32nd International Workshop on Unification,PESTO (1),,,,,
UNIF 2020 - 34th International Workshop on Unification,,,PESTO (1),,,
UNIF 2023 - 37th International Workshop on Unification,,,,,,PESTO (1)
UNSURE 2023 - 5th International Workshop on Uncertainty for Safe Utilization of Machine Learning in Medical Imaging,,,,,,STATIFY (2)
UQ 2022 - SIAM Conference on Uncertainty Quantification,,,,,ERMINE (1),
UQOP  2020 - International Conference on Uncertainty Quantification & Optimisation,,,PLATON (2),,,
UQOP - Conference on Uncertainty Quantification and Optimization,,DeFI (1),,,,
UQOP - Uncertainty Quantification and OPtimization,,DeFI (1),,,,
UQSay #01,,ACUMES (1),,,,
URSI 2022 - Journées scientifiques,,,,,SOCRATE (1),
URSI GASS 2020,,,SOCRATE (1),,,
URSI GASS 2020 - 33rd URSI General Assembly and Scientific Symposium,,,SOCRATE (1),,,
USENIX 2020 - 29th USENIX Security Symposium,,,COSMIQ (1),,,
USENIX 2020 - 29th Usenix Security Symposium,,,PESTO (1),,,
USENIX 2022 - 31st USENIX Security Symposium,,,,,PESTO (1) PROSECCO (1),
USENIX 2023 - The 32nd USENIX Security Symposium,,,,,,GRACE (1)
USENIX Annual Technical Conference,,,Whisper (1),,,
USENIX Security '23,,,,,,PROSECCO (1)
USENIX Security '23 - 32nd USENIX Security Symposium,,,,,,PESTO (1) PROSECCO (1)
USENIX Security 2021 - 30th USENIX Security Symposium,,,,MIMOVE (1),,
USENIX Security 2023,,,,,,PESTO (1)
USENIX Security 2023 - 32nd USENIX Security Symposium,,,,,,MAGNET (1) PROSECCO (1)
