Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);Unnamed: 34
SR0902IR;SIMBIOTX;EP;principal;Drasdo;Dirk;01-03-2021;;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Décision signée;01/03/2021;31/12/2027;SImulations en Médecine, BIOtechnologie et ToXicologie de systèmes multicellulaires;SImulations in Medicine, BIOtechnology and ToXicology of multicellular systems;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Modélisation et commande pour le vivant;Modeling and Control for Life Sciences;;;;;;01/03/2021;31/12/2027;;202123946S;;14681-C, 15196-P, 16553-P;111098-0;Modèles à base d'agents, biofluides, modélisation du transport, modélisation des tissus, médecine systémique, biotechnologie systémique, toxicologie systémique, foie;Agent-based models, biofluids, transport modeling, tissue modeling, systems medicine, systems biotechnology, systems toxicology, liver;
SR0856DR;SIMSMART;EP;principal;Rousset;Mathias;01-01-2019;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/01/2019;31/12/2027;SIMulation pARTiculaire de Modèles Stochastiques;SIMulating Stochastic Models with pARTicles;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Approches stochastiques;Stochastic approaches;CNRS, U. RENNES;CNRS, Université de Rennes;INSMI;IRMAR [U. RENNES 1, ENS CACHAN, CNRS, INSA RENNES, U. RENNES 2];Institut de recherche mathématique de Rennes (IRMAR);01/01/2019;31/12/2027;01/12/2022;201822633C;;13265-C, 15813-P, 16819-P;031127-1;Méthodes de Monte Carlo - Systèmes de particules en interaction - Simulation d'évènements rares - Filtrage statistique - Réduction de modèle - Météorologie - Physique numérique à l'échelle nanométrique.;Monte Carlo methods - Stochastic interacting particle systems -  Rare event simulation - Statistical filtering - Model reduction - Meteorology - Nanoscale computational physics.;
SR0505NR;SIROCCO;EP;principal;Guillemot;Christine;01-01-2012;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Terminée;30/06/2024;;Analysis representation, compression and communication of visual data;Analysis representation, compression and communication of visual data;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Vision, perception et interprétation multimedia;Vision, perception and multimedia interpretation;;;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/01/2012;30/06/2024;16/10/2014, 03/10/2018;201221227A;;8212-C, 11314-P, 13731-P, 16221-P, 16261-M, 16675-P;031029-1;modélisation, représentation, compression,communication, images, vidéo;modelling, representation, compression, communication, images, video;
SR0678GR;SISTM;EP;principal;Prague;Melanie;01-07-2024;;Principal;Centre Inria de l'université de Bordeaux;Institut de Santé Publique d'Epidémiologie et de Développement;Décision signée;01/01/2015;31/12/2027;Statistics In System biology and Translational Medicine;Statistics In System biology and Translational Medicine;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Modélisation et commande pour le vivant;Modeling and Control for Life Sciences;U. DE BORDEAUX, INSERM;Université de Bordeaux, INSERM;;;;01/01/2015;31/12/2027;12/10/2017, 15/05/2022;201321095C;;10607-C, 12209-M, 13241-P, 15196-P, 16553-P, 17197-CR, 17198-N;091058-1;;;
SR0584JR;SOCRATE;EP;principal;Risset;Tanguy;01-07-2013;;Principal;Centre Inria de Lyon;Institut National des Sciences Appliquées Lyon - Laboratoire Center of Innovation in Telecommunications and Integration of service (CITI);Terminée;28/02/2022;;Radio logicielle et radio cognitive pour les télécommunication;Software and Cognitive radio for telecommunications;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Réseaux et télécommunications;Networks and Telecommunications;INSA LYON;Institut national des sciences appliquées de Lyon;;CITI [INSA LYON];Centre d'innovation en télécommunications et intégration de services;01/07/2013;28/02/2022;23/03/2016, 17/03/2020;201221017X;;9517-C, 11955-P, 14583-P;121018-0;Radio logicielle, Radio cognitive, systèmes embarqués;Software-Defined Radio, Cognitive Radio, Internet of Things, Radio Resource Management, Radio Resource Sharing, Modeling, Optimization, Wireless Networking,Architecture, Operating Systems, Wireless Systems, Wireless Sensor and Actuator Networks, Distributed and Localized Algorithms, spectrum sharing, spectrum sensing;
SR0918NR;SODA;EP;principal;Varoquaux;Gael;01-03-2022;;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Décision signée;01/03/2022;28/02/2026;Méthodes computationnelles et mathématiques pour comprendre la société et la santé à partir de données;Computational and mathematical methods to understand health and society with data;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;;;;;;01/03/2022;28/02/2026;;202224249S;;15323-C;111102-0;apprentissage statistique, santé, science sociales, bases de données;machine learning, health, social sciences, databases;
SR0703KR;SPADES;EP;principal;Goessler;Gregor;01-01-2021;;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Décision signée;01/07/2015;31/12/2025;Programmation de systèmes embarqués sûrs et adaptatifs;Sound Programming of Adaptive Dependable Embedded Systems;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Systèmes embarqués et temps réel;Embedded and Real-time Systems;UGA;Université de Grenoble Alpes;INS2I;LIG [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)];Laboratoire d'Informatique de Grenoble (LIG);01/07/2015;31/12/2025;24/03/2016, 19/03/2020;201321224T;;11056-C, 11960-P, 11961-N, 14584-P, 14651-N, 15178-P;071114-1;;;
SR0654LR;SPECFUN;EP;principal;Chyzak;Frederic;01-07-2014;;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Terminée;31/03/2022;;Symbolic Special Functions : Fast and Certified;Symbolic Special Functions : Fast and Certified;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Algorithmique, calcul formel et cryptologie;Algorithmics, Computer Algebra and Cryptology;;;;;;01/07/2014;31/03/2022;17/03/2015, 19/03/2019;201221067B;;10356-C, 11315-P, 14024-P, 15205-P;111067-1;;;
SR0742ER;SPHINX;EP;principal;Takahashi;Takeo;01-01-2024;;Principal;Centre Inria de l'Université de Lorraine;Institut Élie Cartan de Lorraine ? UMR 7502;Décision signée;01/05/2016;31/12/2026;Heterogeneous Systems: Inverse Problems, Control and Stabilization, Simulation;Heterogeneous Systems: Inverse Problems, Control and Stabilization, Simulation;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation et contrôle de systèmes dynamiques;Optimization and control of dynamic systems;CNRS, U. DE LORRAINE;CNRS, Université de Lorraine;INSMI;IECL [CNRS, U. DE LORRAINE];Institut Elie Cartan de Lorraine (IECL);01/05/2016;31/12/2026;14/03/2017, 12/01/2022;201521245G;;11583-C, 12546-P, 15186-P, 15341-CR, 15345-N, 15853-P, 15906-N, 16225-P, 16245-?, 16652-CR, 16653-N;051009-2;;;
SR0679OR;SPIRALS;EP;principal;Seinturier;Lionel;01-01-2015;;Principal;Centre Inria de l'Université de Lille;Centre Inria de l'Université de Lille;Décision signée;01/01/2015;30/06/2026;Self-adaptation for distributed services and large software systems;Self-adaptation for distributed services and large software systems;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Systèmes distribués et intergiciels;Distributed Systems and middleware;UNIVERSITE DE LILLE, CNRS;Université de Lille, CNRS;INS2I;CRISTAL [E. CENTRALE LILLE, U. LILLE 1 (USTL), U. LILLE 3 (UCDG), CNRS, INRIA];Centre de Recherche en Informatique, Signal et Automatique de Lille;01/01/2015;30/06/2026;13/10/2016, 07/10/2021;201421121B;;10602-C, 12277-P, 14890-P, 15700-P;101047-1;;;
SR0943QR;SPLITS;EP;principal;Rezk;Tamara;01-07-2023;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/07/2023;30/06/2027;Languages de Programmation Sécures et Outils pour la Sécurité;Secure Programming Languages & Tools for Security;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Sécurité et confidentialité;Security and Confidentiality;;;;;;01/07/2023;30/06/2027;;202324427F;;16308-C;041173-0;;;
SR0854HR;STACK;EP;principal;Lebre;Adrien;01-01-2019;;Principal;Centre Inria de l'Université de Rennes;Institut Mines Télécom - Atlantique;Décision signée;01/01/2019;30/06/2026;Pile logicielle pour les infrastructures massivement géo distribuées;Software Stack for Massively Geo-Distributed Infrastructures;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Systèmes distribués et intergiciels;Distributed Systems and middleware;IMT ATLANTIQUE, NANTES U.;Ecole Nationale Supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire, Nantes Université;INS2I;LS2N [U. NANTES, CNRS, INRIA, IMT ATLANTIQUE];Laboratoire des Sciences  du  numerique  de  Nantes;01/01/2019;30/06/2026;07/10/2021;201722617P;;13262-C, 14206-R, 14890-P, 15700-P, 16257-M;031124-1;Informatique Utilitaire, Informatique en nuage, Informatique en périphérie, pile logicielle, gestionnaire de ressources, infrastructures géo-distribuées;Utility Computing, Geo-Distributed infrastructures, Cloud, Fog, Edge,;
SR0883FR;STAMP;EP;principal;Bertot;Yves;01-11-2019;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/11/2019;31/12/2024;?	Sûreté du logiciel et Preuves Mathématiques Formalisées;Safety Techniques based on Formalized Mathematical Proofs;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;;;;;;01/11/2019;31/12/2024;;201923413W;;13887-C, 16659-P, 16998-P;041162-0;;;
SR0541QR;STARS;EP;principal;Brémond;Francois;01-01-2013;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/01/2013;31/12/2024;Spatio-Temporal Activity Recognition Systems;Spatio-Temporal Activity Recognition Systems;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Vision, perception et interprétation multimedia;Vision, perception and multimedia interpretation;;;;;;01/01/2013;31/12/2024;16/10/2014, 03/10/2018;201221015V;;8988-C, 11314-P, 12239-P, 13731-P, 16221-P, 16983-P;041102-2;Reconnaissance d'activités, Apprentissage Profond, Vision par ordinateur, Interprétation de vidéos, Vision cognitive;Activity Recognition, Video Understanding, Deep Learning, Computer Vision, Cognitive Vision Systems;
SR0893AR;STATIFY;EP;principal;Forbes;Florence;01-04-2020;;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Décision signée;01/04/2020;31/12/2027;Mode?les statistiques baye?siens et des valeurs extre?mes pour donne?es structure?es et de grande dimension;Bayesian and extreme value statistical models for structured and high dimensional data;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation, apprentissage et méthodes statistiques;Optimization, machine learning and statistical methods;CNRS, UGA;CNRS, Université de Grenoble Alpes;INSMI;LJK [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)];Laboratoire Jean Kuntzmann (LJK);01/04/2020;31/12/2027;01/12/2022;202023582A;;14226-C, 16728-P;071137-0;Modélisation Bayésienne, Modèles graphiques probabilistes, Données en grande dimension, Theorie des valeurs extremes, Imagerie cérébrale, Risque et environnement;Bayesian modeling,  Probabilistic graphical models, Structured and high dimensional data, Extreme value theory, Brain imaging, Risk and environment.;
SR0715QR;STEEP;EP;principal;Sturm;Peter;01-07-2023;;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Décision signée;01/12/2015;31/12/2027;Soutenabilité, Territoires, Environnement, Economie et Politique;Sustainability transition, environment, economy and local policy;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Sciences de la planète, de l'environnement et de l'énergie;Earth, Environmental and Energy Sciences;CNRS, UGA;CNRS, Université de Grenoble Alpes;INSMI;LJK [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)];Laboratoire Jean Kuntzmann (LJK);01/12/2015;31/12/2027;13/03/2018, 01/12/2022;201020763E;;11262-C, 13246-P, 15815-P, 16263-CR, 16260-N, 16820-P;071091-1;Développement durable, aménagement, ressources, outils d'aide à la décision, politiques territoriales, modélisation intégré, systèmes complexes, simulation, optimisation, validation, spatialité, multi;Sustainable development, urban planning, resources, decision-making tools,  local policies, integrated modelling, complex systems, simulations, optimization, spatiality, multiscale, uncertainties;
SR0794OR;STORM;EP;principal;Aumage;Olivier;01-03-2023;;Principal;Centre Inria de l'université de Bordeaux;Centre Inria de l'université de Bordeaux;Décision signée;01/07/2017;30/06/2026;Optimisation statique, méthodes d?exécution;STatic Optimizations, Runtime Methods;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Calcul distribué et à haute performance;Distributed and High Performance Computing;BORDEAUX INP, U. DE BORDEAUX, CNRS;Institut Polytechnique de Bordeaux, Université de Bordeaux, CNRS;INS2I;LABRI [CNRS];Laboratoire Bordelais de Recherche en Informatique (LaBRI);01/07/2017;30/06/2026;07/10/2021;201521157L;;12236-C, 14888-P, 15701-P, 16024-CR, 16025-N;091061-1;calcul intensif, supports d'exécution, compilation;high performance computing, runtime systems, compilation;
SR0671YR;SUMO;EP;principal;Bertrand;Nathalie;01-04-2019;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Terminée;31/12/2023;;SUpervision of large MOdular and distributed systems;SUpervision of large MOdular and distributed systems;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;CNRS;CNRS;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/01/2015;31/12/2023;20/03/2019;201321087U;;10466-C, 13428-CR, 13429-N, 14025-P, 16262-M, 16659-P;031109-1;Supervision. Systèmes distribués. Systèmes cyber-physiques. Model-checking. Méthodes formelles pour la sécurité . Automatique. Algorithmique. Logique . Optimisation. Théorie de l'information. Théorie des jeux;supervision, distributed system, cyber-physical system, model-checking, formal method, security, automatic, Algorithmic. Logic . Optimization. Information theory. Game Theory;
SR0951JR;SUSHI;EP;principal;Hiet;Guillaume;01-12-2023;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/01/2024;31/12/2027;Sécurité à l?interface logiciel/matériel;SecUrity at the Software-Hardware Interface;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Sécurité et confidentialité;Security and Confidentiality;CENTRALESUPELEC, ENS RENNES;CentraleSupélec, École normale supérieure de Rennes;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/01/2024;31/12/2027;;202424468W;;16602-C;031140-0;;;
SR0911FR;SYCOMORES;EP;principal;Lipari;Giuseppe;01-10-2021;;Principal;Centre Inria de l'Université de Lille;Centre Inria de l'Université de Lille;Décision signée;01/10/2021;31/12/2025;Analyse symbolique et conception oriente?e composants pour des syste?mes embarque?s temps-re?el modulaires;Symbolic analysis and Component-based design for Modular Real-Time Embedded Systems;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Systèmes embarqués et temps réel;Embedded and Real-time Systems;UNIVERSITE DE LILLE, CNRS;Université de Lille, CNRS;INS2I;CRISTAL [E. CENTRALE LILLE, U. LILLE 1 (USTL), U. LILLE 3 (UCDG), CNRS, INRIA];Centre de Recherche en Informatique, Signal et Automatique de Lille;01/10/2021;31/12/2025;;202124119E;;14892-C, 15210-P;101064-0;Systèmes temps-réel, Conceptions par composants, Analyse de temps d'execution pire-cas, langages synchrones, Assistants de preuves, Systèmes de types;Real-Time Systems, Component-based design, WCET analysis, Synchronous languages, Proof-assistants, Type systems;
SR0808ZR;TADAAM;EP;principal;Goglin;Brice;01-07-2024;;Principal;Centre Inria de l'université de Bordeaux;Centre Inria de l'université de Bordeaux;Décision signée;01/12/2017;30/06/2026;Gestion des données à l'échelle du système en fonction de la topologie pour le calcul haute performance;Topology-aware system-scale data management for high-performance computing;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Calcul distribué et à haute performance;Distributed and High Performance Computing;BORDEAUX INP, U. DE BORDEAUX;Institut Polytechnique de Bordeaux, Université de Bordeaux;INS2I;LABRI [CNRS];Laboratoire Bordelais de Recherche en Informatique (LaBRI);01/12/2017;30/06/2026;07/10/2021;201521202K;;12497-C, 14888-P, 15701-P, 17193-CR, 17194-N;091060-1;Calcul Haute Performance, optimisation à l'échelle du système, applications à base de maillage, modélisation des performances,  topologie, affinité, gestion des resources.;High-performance computing, system-scale optimization, mesh-based applications, performance modeling, topology, affinity, resource management.;
SR0825UR;TAMIS;EP;principal;Zendra;Olivier;01-11-2018;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Terminée;31/10/2020;;Analyse de la menace et atténuation pour la sécurité des informations;Threat Analysis and Mitigation for Information Security;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Sécurité et confidentialité;Security and Confidentiality;CENTRALESUPELEC, CNRS;CentraleSupélec, CNRS;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/01/2018;31/10/2020;;201622048A;;12567-C, 13121-CR, 13122-N, 14026-P, 14291-P;031118-1;Vulnerability Analysis, Side Channel attacks, Malware Analysis, Banking Systems;Vulnerability Analysis, Malware detection, offensive security, formal methods;
SR0898KR;TANGRAM;EP;principal;Berger;Marie-odile;01-12-2020;;Principal;Centre Inria de l'Université de Lorraine;Centre Inria de l'Université de Lorraine;Décision signée;01/12/2020;30/06/2028;Recalage visuel avec des modèles physiquement réalistes;Visual Registration with Physically Coherent Models;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Vision, perception et interprétation multimedia;Vision, perception and multimedia interpretation;U. DE LORRAINE, CNRS;Université de Lorraine, CNRS;INS2I;LORIA [CNRS, INRIA];Laboratoire lorrain de recherche en informatique et ses applications (LORIA);01/12/2020;30/06/2028;;202023684L;;14536-C, 16221-P, 16983-P;051113-0;vision par ordinateur, recalage, traitement du signal,  apprentissage;computer vision, registration, signal processing, machine learning;
SR0905HR;TARAN;EP;principal;Sentieys;Olivier;01-05-2021;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/05/2021;31/12/2025;Architectures matérielles spécialisées pour l?ère post loi-de-Moore;Domain-Specific Computers in the Post Moore?s Law Era;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Architecture, langages et compilation;Architecture, Languages and Compilation;ENS RENNES, U. RENNES;École normale supérieure de Rennes, Université de Rennes;;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/05/2021;31/12/2025;;202124094C;;14815-C, 15209-P, 16256-M;031133-0;;A1.1.2. - Hardware accelerators (GPGPU, FPGA, etc.) A1.1.8. - Security of architectures A1.1.9. - Fault tolerant systems A1.1.10. - Reconfigurable architectures A1.1.12. - Non-conventional architectures A2.2. - Compilation A2.2.4. - Parallel architectures A2.2.6. - GPGPU, FPGA... A2.2.7. - Adaptive compilation A4.4. - Security of equipment and software A8.10. - Computer arithmetic B4.5. - Energy consumption B4.5.1. - Green computing B4.5.2. - Embedded sensors consumption B6.6. - Embedded systems;
SR0905HR;TARAN;EP;;;;;;;Centre Inria de l'Université de Rennes;École Nationale Supérieure des Sciences Appliquées et de Technologie;Décision signée;01/05/2021;31/12/2025;Architectures matérielles spécialisées pour l?ère post loi-de-Moore;Domain-Specific Computers in the Post Moore?s Law Era;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Architecture, langages et compilation;Architecture, Languages and Compilation;ENS RENNES, U. RENNES;École normale supérieure de Rennes, Université de Rennes;;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/05/2021;31/12/2025;;202124094C;;14815-C, 15209-P, 16256-M;031133-0;;A1.1.2. - Hardware accelerators (GPGPU, FPGA, etc.) A1.1.8. - Security of architectures A1.1.9. - Fault tolerant systems A1.1.10. - Reconfigurable architectures A1.1.12. - Non-conventional architectures A2.2. - Compilation A2.2.4. - Parallel architectures A2.2.6. - GPGPU, FPGA... A2.2.7. - Adaptive compilation A4.4. - Security of equipment and software A8.10. - Computer arithmetic B4.5. - Energy consumption B4.5.1. - Green computing B4.5.2. - Embedded sensors consumption B6.6. - Embedded systems;
SR0780IR;TAU;EP;principal;Schoenauer;Marc;01-07-2019;;Principal;Centre Inria de Saclay;UP Saclay - Laboratoire Interdisciplinaire des Sciences du Numérique Bât. 660 Claude Shannon;Décision signée;01/07/2019;31/12/2027;IA : vers des problèmes mieux posés;TAckling the Underspecified;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation, apprentissage et méthodes statistiques;Optimization, machine learning and statistical methods;CNRS, UNIV. PARIS-SACLAY;CNRS, Université Paris-Saclay;INS2I;LISN (MERGE PARTIEL LRI+LIMSI) [];Laboratoire Interdisciplinaire des Sciences du Numérique;01/12/2016;31/12/2027;01/12/2022;201622258D;;11965-C, 12564-P, 13289-P, 13689-C, 16728-P;111083-0;statistical learning, deep learning, stochastic optimization;statistical learning, deep learning, stochastic optimization;
SR0677JR;TEA;EP;principal;Talpin;Jean-pierre;01-01-2015;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Terminée;31/12/2023;;Time, Events and Architectures;Time, Events and Architectures;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Systèmes embarqués et temps réel;Embedded and Real-time Systems;;;;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/01/2015;31/12/2023;24/03/2016, 19/03/2020;201421201N;;10608-C, 11960-P, 14584-P, 15178-P, 16681-F;031012-2;;;
SR0735UR;THOTH;EP;principal;Mairal;Julien;01-05-2020;;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Décision signée;01/03/2016;31/12/2027;Apprentissage de modèles visuels à partir de données massives;Learning visual models from large-scale data;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Vision, perception et interprétation multimedia;Vision, perception and multimedia interpretation;;;INSMI;LJK [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)];Laboratoire Jean Kuntzmann (LJK);01/03/2016;31/12/2027;03/10/2018;201622034K;;11489-C, 12838-CR, 12839-N, 13642-?, 13731-P, 14266-N, 16221-P, 16983-P;071126-1;vision par ordinateur, apprentissage machine;computer vision, machine learning;
SR0623ZR;TITANE;EP;principal;Alliez;Pierre;01-01-2014;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/01/2014;31/12/2025;Modélisation géométrique d'environnements 3D;Geometric Modeling of 3D Environments;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Interaction et visualisation;Interaction and visualization;;;;;;01/01/2014;31/12/2025;15/10/2014, 03/10/2018;201321085S;;9879-C, 11313-P, 13729-P, 16222-P, 16986-P;041141-1;Modélisation géometrique, traitement numérique de la géométrie, traitement et analyse d'images;Geometric modeling, geometry processing, image processing and analysis;
SR0646IR;TOCCATA;EP;principal;Marche;Claude;01-07-2014;;Principal;Centre Inria de Saclay;UP Saclay - Laboratoire Interdisciplinaire des Sciences du Numérique Bât. 650 Ada Lovelace;Décision signée;01/07/2014;31/12/2024;Certified Programs, Certified Tools, Certified Floating-Point Computations;Certified Programs, Certified Tools, Certified Floating-Point Computations;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;CNRS, UNIV. PARIS-SACLAY;CNRS, Université Paris-Saclay;INS2I;LMF [LSV, LRI];Laboratoire de Méthodes Formelles;01/07/2014;31/12/2024;17/03/2015, 20/03/2019;201221053L;;10173-C, 11317-P, 14025-P, 16659-P, 16998-P;111029-2;Vérification déductive de programmes, démonstration automatique, formalisation en logique d'ordre supérieur, programmes numériques.;Deductive Program Verification, Automated Reasoning, Formalization in Higher-Order Logics, Numerical Programs.;
SR0628FR;TONUS;Equipe;principal;Helluy;Philippe;01-01-2012;31-12-2016;Principal;Centre Inria de l'Université de Lorraine;Centre Inria de l'Université de Lorraine;Terminée;30/04/2019;;TOkamaks and NUmerical Simulations;TOkamaks and NUmerical Simulations;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Sciences de la planète, de l'environnement et de l'énergie;Earth, Environmental and Energy Sciences;;;;;;01/01/2012;30/04/2019;13/03/2018;201221129U;;9920-C, 10558-P, 11350-P, 11954-P, 12293-P, 12585-P, 12956-P, 13277-P, 13538-F;051006-1;physique des plasmas, modèles gyrocinétiques, simulations numériques, calcul haute performance;plasma physics, gyrokinetic models, numerical simulations, High Performance Computing;
SR0871CR;TONUS;EP;principal;Franck;Emmanuel;01-09-2023;;Principal;Centre Inria de l'Université de Lorraine;Institut de recherche mathématique avancée;Terminée;31/03/2024;;Simulations numériques et TOkamaks;TOkamaks and NUmerical Simulations;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Sciences de la planète, de l'environnement et de l'énergie;Earth, Environmental and Energy Sciences;CNRS, U. STRASBOURG;CNRS, Université de Strasbourg;INSMI;IRMA [U. STRASBOURG, CNRS];Institut de recherche mathématique avancée (IRMA);01/05/2019;31/03/2024;01/12/2022;201221129U;;13521-C, 15815-P, 16417-CR, 16418-N, 16820-P, 17085-F;051006-1;physique des plasmas, modèles gyrocinétiques, simulations numériques, calcul haute performance, apprentissage et calcul scientifique;plasma physics, gyrokinetic models, numerical simulations, High Performance Computing, scientific machine learning;
SR0937ER;TOPAL;EP;principal;Beaumont;Olivier;01-03-2023;;Principal;Centre Inria de l'université de Bordeaux;Centre Inria de l'université de Bordeaux;Décision signée;01/03/2023;28/02/2027;Outils et Optimisations pour le Calcul Haute Performance et l'Apprentissage;Tools and Optimization for high Performance Applications and Learning;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Calcul distribué et à haute performance;Distributed and High Performance Computing;BORDEAUX INP, U. DE BORDEAUX;Institut Polytechnique de Bordeaux, Université de Bordeaux;INS2I;LABRI [CNRS];Laboratoire Bordelais de Recherche en Informatique (LaBRI);01/03/2023;28/02/2027;;202324391S;;16022-C;091072-0;HPC, Apprentissage, Algèbre Linéaire, Passage à l'échelle, Minimisation de l'impact carbone.;;
