Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);
"SR0003NR";"RUNTIME";"EP";principal;"Namyst";"Raymond";"";"";"Principal";"Centre Inria de l'université de Bordeaux";"Centre Inria de l'université de Bordeaux";"Terminée";"31/12/2013";"";"Supports exécutifs performants pour architectures parallèles";"Efficient runtime systems for parallel architectures";"Réseaux, systèmes et services, calcul distribué ";"Networks, Systems and Services, Distributed Computing";"Calcul distribué et applications à très haute performance";"Distributed and High Performance Computing";"U. DE BORDEAUX, CNRS";"Université de Bordeaux, CNRS";"";"LABRI [CNRS]";"Laboratoire Bordelais de Recherche en Informatique (LaBRI)";"07/10/2004";"31/12/2013";"11/10/2012";"200418253C";"";"4429-C, 6564-P, 9642-F";"091020-0";"supports exécutifs, multicoeurs, accélérateurs, grappes, réseaux, systèmes d'exploitation";"runtime systems, multicores, accelerators, clusters, networks, operating systems";
"SR0607KR";"RUNTIME";"Equipe";principal;"Namyst";"Raymond";"01-01-2014";"31-12-2014";"Principal";"Centre Inria de l'université de Bordeaux";"Centre Inria de l'université de Bordeaux";"Terminée";"31/12/2014";"";"Supports exécutifs performants pour architectures parallèles";"Efficient runtime systems for parallel architectures";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Calcul distribué et à haute performance";"Distributed and High Performance Computing";"";"";"";"";"";"01/01/2014";"31/12/2014";"11/10/2012";"200418253C";"";"9778-C, 9779-N, 10483-CR, 10481-F";"091020-0";"supports exécutifs, multicoeurs, accélérateurs, grappes, réseaux, systèmes d'exploitation";"runtime systems, multicores, accelerators, clusters, networks, operating systems";
"SR0424KR";"S.H.A.M.A.N";"Equipe";principal;"Cotin";"Stephane";"";"";"Principal";"Centre Inria de l'Université de Lille";"Centre Inria de l'Université de Lille";"Terminée";"31/12/2011";"";"Simulation in Healthcare for Advanced Medical ApplicatioNs";"Simulation in Healthcare for Advanced Medical ApplicatioNs";"";"";"";"";"";"";"";"";"";"01/01/2010";"31/12/2011";"";"201021218Z";"";"7062-C";"101032-0";"";"";
"SR0118ZR";"S4";"EP";principal;"Caillaud";"Benoit";"";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"30/06/2013";"";"Synthèse et supervision de systèmes, scénarios";"System synthesis and supervision, scenarios";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Systèmes embarqués et temps réel";"Embedded and Real Time Systems";"CNRS, U. RENNES 1";"CNRS, Université Rennes 1";"";"IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS]";"Institut de recherche en informatique et systèmes aléatoires (IRISA)";"15/03/2002";"30/06/2013";"20/03/2012";"200218353V";"";"3583-C, 4606-P, 6176-P, 8353-P, 9116-F";"031022-0";"";"";
"SR0547JR";"S4";"Equipe";principal;"Caillaud";"Benoit";"01-01-2013";"31-03-2013";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"30/06/2013";"";"Synthèse et supervision de systèmes, scénarios";"System synthesis and supervision, scenarios";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Systèmes embarqués et temps réel";"Embedded and Real Time Systems";"U. RENNES 1";"Université Rennes 1";"";"";"";"01/01/2013";"30/06/2013";"";"200218353V";"";"9029-C, 9315-P, 9486-F";"031022-0";"";"";
"SR0287UR";"SAFIR";"EP";principal;"Watt";"Stephen";"";"";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Terminée";"31/12/1998";"";"Systèmes algébriques formels pourl'industrie et la recherche";"Algebraic Formal Systems for Industry and Research";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul certifié et cryptographie";"Algorithms, Certification, and Cryptography";"";"";"";"";"";"01/01/1986";"31/12/1998";"";"198622096H";"";"";"";"algèbre,algorithme,calcul formel,complexité algébrique,géométrie,langage fonctionnel,mécanique,réécriture,simplification,typage,dérivatio";"algebra,algorithm,symbolic computing,algebraic computing,algebraic complexity,geometry,functional language,mechanics,re-writing,simplification,typing,automatic differentiation";
"SR0288LR";"SAGA";"EP";principal;"Merlet";"Jean-pierre";"";"";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Terminée";"01/02/2001";"";"Systèmes Algébriques, Géométrie et Applications";"Algebraic Systems, Geometry and Applications";"Génie logiciel et calcul symbolique";"Software engineering and symbolic computing";"Algorithmique et calcul formel";"Algorithms and Computational Algebra";"";"";"";"";"";"01/01/1999";"01/02/2001";"";"199921460K";"";"";"";"géométrie,théorie des invariants,géométrie  algébrique effective,algorithmique des polynÔmes,applications,robotique,théorie des mécanismes";"";
"SR0122IR";"SAGE";"EP";principal;"Erhel";"Jocelyne";"06-12-2004";"31-12-2014";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"31/12/2015";"";"Simulations et algorithmes sur des grilles de calcul appliqués à l'environnement";"Simulations and Algorithms on Grids for Environment";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Sciences de la planète, de l'environnement et de l'énergie";"Earth, Environmental and Energy Sciences";"U. RENNES 1, CNRS";"Université Rennes 1, CNRS";"";"IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS]";"Institut de recherche en informatique et systèmes aléatoires (IRISA)";"06/12/2004";"31/12/2015";"18/03/2010, 18/03/2014";"200418357R";"";"4409-C, 6564-P, 7664-P, 8095-P, 10554-P, 11373-F";"031023-0";"algorithmes numériques, calculs sur la grille, hydrogéologie";"numerical algorithms, grid computing, hydrogeology";
"SR0374CR";"SAGEP";"Equipe";principal;"Proth";"Jean-marie";"";"";"Principal";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"31/12/2003";"";"Simulation, analyse et gestion des systèmes de production";"";"Simulation et optimisation de systèmes complexes";"Simulation and optimization of complex systems";"Modélisation et calcul scientifique";"Modelling and Scientific Computing";"";"";"";"";"";"31/12/2002";"31/12/2003";"";"200221496L";"";"";"";"analyse des pertubations,cim,conception modulaire,évaluation de système discret,gestion hiérarchisée,maintenance prédictive,modélisation de système  di";"perturbation analysis,cim,modular design,evaluation of discrete systems,hierarchical management,predictive maintenance,modelling discrete systems,discrete event  systems,optimization,scheduling,petri";
"SR0940OR";"SAIRPICO";"EP";principal;"Kervrann";"Charles";"01-04-2023";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Décision signée";"01/04/2023";"31/03/2027";"Imagerie Spatio-Temporelle, Intelligence Artificielle et Calcul Numérique pour la Biologie Cellulaire et Chemobiologie";"Space-time imaging, artificial intelligence and computing for cellular and chemical biology";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Biologie numérique";"Computational Biology";"INSERM, INSTITUT CURIE";"INSERM, Institut Curie";"INC";"CBC []";"Chimie et Biologie de la Cellule";"01/04/2023";"31/03/2027";"";"202324398Z";"";"16069-C";"031139-0";"";"";
"SR0940OR";"SAIRPICO";"EP";;"Kervrann";"Charles";"01-04-2023";"";" (Non renseigné)";"Centre Inria de l'Université de Rennes";"Institut Curie - Paris";"Décision signée";"01/04/2023";"31/03/2027";"Imagerie Spatio-Temporelle, Intelligence Artificielle et Calcul Numérique pour la Biologie Cellulaire et Chemobiologie";"Space-time imaging, artificial intelligence and computing for cellular and chemical biology";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Biologie numérique";"Computational Biology";"INSERM, INSTITUT CURIE";"INSERM, Institut Curie";"INC";"CBC []";"Chimie et Biologie de la Cellule";"01/04/2023";"31/03/2027";"";"202324398Z";"";"16069-C";"031139-0";"";"";
"SR0096PR";"SALSA";"EP";principal;"Faugère";"Jean-charles";"01-11-2010";"30-06-2011";"Par intérim";"Centre Inria de Paris";"Antenne Inria Paris-Italie";"Terminée";"31/12/2011";"";"Résolution de systèmes algébriques et Applications";"Solvers for Algebraic Systems and Applications";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul certifié et cryptographie";"Algorithms, Certification, and Cryptography";"CNRS, UPMC";"CNRS, Université Pierre et Marie Curie";"";"LIP6 [UPMC, CNRS]";"Laboratoire d'informatique de Paris 6 (LIP6)";"01/11/2005";"31/12/2011";"24/03/2011";"200518334L";"";"4814-C, 5787-P, 7531-CR, 7532-N, 7614-P, 8401-F, 8337-P";"021039-1";"Résolution des systèmes polynomiaux, Solutions réelles, Cryptanalyse Algebrique";"Polynomial System solving, Real solutions, Algebraic Cryptanalysis";
"SR0375MR";"SAMIE";"Equipe";principal;"Michard";"Alain";"";"";"Principal";"Centre Inria de Paris";"Rocquencourt";"Terminée";"01/10/2003";"";"Schémas Abstraits pour la Modélisation des Intranets";"Conceptual Modeling of Community-Webs";"Interaction homme-machine, images, données, connaissances";"Human-computer interaction, images processing, data management, knowledge systems";"Bases de données, bases de connaissances, systèmes cognitifs";"Databases, Knowledge Bases, Cognitive Systems";"";"";"";"";"";"01/01/2001";"01/10/2003";"";"200121498T";"";"4476-F";"";"";"";
"SR0016HR";"SARDES";"EP";principal;"Stefani";"Jean-bernard";"";"";"Principal";"Centre Inria de l'Université Grenoble Alpes";"Centre de recherche Inria de l'Université Grenoble Alpes";"Terminée";"31/12/2012";"";"Architecture de systèmes réflexifs pour les environnements distribués";"System architecture for reflective distributed computing environments";"Réseaux, systèmes et services, calcul distribué ";"Networks, Systems and Services, Distributed Computing";"Systèmes et services distribués";"Distributed Systems and Services";"CNRS, GRENOBLE INP, UJF (GRENOBLE)";"CNRS, Institut polytechnique de Grenoble, Université Joseph Fourier (Grenoble)";"";"LIG [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)]";"Laboratoire d'Informatique de Grenoble (LIG)";"01/01/2002";"31/12/2012";"09/10/2012";"200218265Z";"";"3367-C, 4616-P, 6565-P, 9333-F";"071027-0";"systèmes informatiques répartis,systèmes d'exploitation des ordinateurs,systèmes réflexifs,architecture logicielle,modèles de programmation répartis,co";"distributed systems,operating systems,reflective systems,system architecture,software architecture,distributed programming models,software components,component-based systems,object-based systems,adapt";
"SR0004QR";"SCALAPPLIX";"EP";principal;"Roman";"Jean";"";"";"Principal";"Centre Inria de l'université de Bordeaux";"Centre Inria de l'université de Bordeaux";"Terminée";"31/12/2008";"";"Schémas et algorithmes hautes performances pour les applications scientifiques complexes";"Algorithms and high performance computing for grand challenge applications";"Réseaux, systèmes et services, calcul distribué ";"Networks, Systems and Services, Distributed Computing";"Calcul distribué et applications à très haute performance";"Distributed and High Performance Computing";"U. DE BORDEAUX, ENSEIRB, CNRS";"Université de Bordeaux, Ecole nationale supérieure d'électronique, informatique et radiocommunications de Bordeaux, CNRS";"";"IMB [CNRS, U. DE BORDEAUX, BORDEAUX INP], LABRI [CNRS]";"Institut de Mathématiques de Bordeaux (IMB), Laboratoire Bordelais de Recherche en Informatique (LaBRI)";"01/11/2002";"31/12/2008";"";"200218254M";"";"3692-C, 6605-F, 6564-P";"091021-0";"schémas,algorithmes,hautes,performances,applications,scientifiques,complexes";"algorithms,high,performance,computing,grand,challenge,applications";
"SR0621RR";"SCALE";"Equipe";principal;"Henrio";"Ludovic";"01-01-2014";"31-12-2014";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Terminée";"31/12/2015";"";"Safe Composition of Autonomous applications with Large-SCALE Execution environment";"Safe Composition of Autonomous applications with Large-SCALE Execution environment";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Systèmes distribués et intergiciels";"Distributed Systems and middleware";"";"";"";"";"";"01/01/2014";"31/12/2015";"";"201421127H";"";"9806-C, 10609-P, 11260-F";"041026-1";"";"";
"SR0289HR";"SCILAB";"EP";principal;"Gomez";"Claude";"";"";"Principal";"Centre Inria de Paris";"Rocquencourt";"Terminée";"30/06/2008";"";"Equipe opérationnelle du consortium Scilab";"Operational team of Scilab consortium";"Systèmes numériques";"Numerical systems";"Automatique et systèmes complexes";"Control and complex systems";"";"";"";"";"";"01/01/1996";"30/06/2008";"";"199621359N";"";"6373-F, 4720-P";"";"calcul scientifique, calcul numérique, logiciel libre";"scientific computations, numerical computations, free software";
"SR0490MR";"SCIPORT";"Equipe";principal;"Hascoët";"Laurent";"01-01-2012";"30-06-2012";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Terminée";"31/12/2013";"";"Transformations et outils informatiques pour le calcul scientifique";"Program transformations for scientific computing";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Modélisation, simulation et analyse numérique";"Computational models and simulation";"";"";"";"";"";"01/01/2012";"31/12/2013";"";"201221212J";"";"8383-C, 8865-P, 9483-P, 9767-F";"041034-1";"";"";
"SR0896HR";"SCOOL";"EP";principal;"Preux";"Philippe";"01-07-2020";"";"Principal";"Centre Inria de l'Université de Lille";"Centre Inria de l'Université de Lille";"Décision signée";"01/11/2020";"31/12/2027";"Prise de décision séquentielle dans l?incertain";"Sequential decision making under uncertainty problem";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Optimisation, apprentissage et méthodes statistiques";"Optimization, machine learning and statistical methods";"CNRS, UNIVERSITE DE LILLE";"CNRS, Université de Lille";"INS2I";"CRISTAL [E. CENTRALE LILLE, U. LILLE 1 (USTL), U. LILLE 3 (UCDG), CNRS, INRIA]";"Centre de Recherche en Informatique, Signal et Automatique de Lille";"01/07/2020";"31/12/2027";"01/12/2022";"202023603Y";"";"14348-C, 16728-P";"101063-0";"";"";
"SR0421BR";"SCORE";"Equipe";principal;"Charoy";"Francois";"01-09-2010";"30-06-2014";"Principal";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"31/07/2014";"";"Services et coopération";"Services and Cooperation";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Systèmes distribués et intergiciels";"Distributed Systems and middleware";"CNRS, U. DE LORRAINE";"CNRS, Université de Lorraine";"";"LORIA [CNRS, INRIA]";"Laboratoire lorrain de recherche en informatique et ses applications (LORIA)";"01/10/2009";"31/07/2014";"";"200921239B";"";"6949-C, 7552-P, 8602-P, 8727-P, 9054-P, 9515-P, 9811-P";"051013-0";"composition de service, travail collaboratif, systèmes distribués";"Service composition, Computer Supported Cooperative Work, Distributed Systems,";
"SR0097JR";"SECRET";"EP";principal;"Canteaut";"Anne";"01-07-2008";"31-12-2015";"Principal";"Centre Inria de Paris";"Centre de recherche Inria de Paris";"Terminée";"30/11/2019";"";"Sécurité, Cryptologie et Transmissions";"Security, Cryptology and Transmissions";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul formel et cryptologie";"Algorithmics, Computer Algebra and Cryptology";"";"";"";"";"";"01/07/2008";"30/11/2019";"24/03/2011, 17/03/2015, 19/03/2019";"200818335Z";"";"6235-C, 8337-P, 11315-P, 14055-F";"021088-1";"cryptographie,  sécurité, chiffrement, algorithmes, information quantique";"cryptography, security, encryption, algorithms, quantum information";
"SR0142GR";"SECSI";"EP";principal;"Goubault-larrecq";"Jean";"";"";"Principal";"Centre Inria de Saclay";"ENS Cachan - Laboratoire Spécification et Vérification (LSV)";"Terminée";"31/12/2012";"";"Sécurité des systèmes d'information";"Security of information systems";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Programmation, vérification et preuves";"Programs, Verification and Proofs";"ENS CACHAN, CNRS";"Ecole normale supérieure de Cachan, CNRS";"";"LSV [ENS CACHAN, CNRS]";"Laboratoire specification et vérification (LSV)";"15/11/2002";"31/12/2012";"22/03/2011";"200218376V";"";"3792-M, 5789-P, 6076-R, 3731-C, 7615-P, 8339-P, 9122-F";"111030-0";"sécurité, protocoles cryptographiques, détection d'intrusions, automates, logique, analyse statique";"security, cryptographic protocols, intrusion detection, automata, logic, static analysis";
"SR0565JR";"SECSI";"Equipe";principal;"Goubault-larrecq";"Jean";"01-01-2013";"";"Principal";"Centre Inria de Saclay";"ENS Cachan - Laboratoire Spécification et Vérification (LSV)";"Terminée";"31/12/2013";"";"Sécurité des systèmes d'information";"Security of information systems";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Programmation, vérification et preuves";"Programs, Verification and Proofs";"CNRS, ENS CACHAN";"CNRS, Ecole normale supérieure de Cachan";"";"LSV [ENS CACHAN, CNRS]";"Laboratoire specification et vérification (LSV)";"01/01/2013";"31/12/2013";"22/03/2011";"200218376V";"";"9165-C, 9166-N";"111030-1";"sécurité, protocoles cryptographiques, détection d'intrusions, automates, logique, analyse statique";"security, cryptographic protocols, intrusion detection, automata, logic, static analysis";
"SR0130LR";"SELECT";"EP";principal;"Massart";"Pascal";"01-01-2007";"31-12-2014";"Principal";"Centre Inria de Saclay";"UP Saclay - Laboratoire de Mathématiques d'Orsay (LMO)";"Terminée";"31/12/2018";"";"Sélection de modèles en apprentissage statistique";"Model selection in statistical learning";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Optimisation, apprentissage et méthodes statistiques";"Optimization, machine learning and statistical methods";"U. PARIS 11 (P.-SUD), CNRS";"Université Paris-Sud (Paris 11), CNRS";"";"LMO [U. PARIS 11 (P.-SUD), CNRS]";"Laboratoire de mathématiques d'Orsay de l'Université de Paris-Sud (LMO)";"01/01/2007";"31/12/2018";"17/03/2010, 19/03/2014, 14/03/2018";"200718365L";"";"5405-C, 6077-R, 6567-P, 7665-P, 8031-P, 10552-P";"111031-0";"Modèles à structure cachée, classification supervisée, fiabilité, analyse de données de biopuces";"hidden structure models, supervised classification, Reliability, microarray data analysis";
"SR0866IR";"SELECT";"Equipe";principal;"Arlot";"Sylvain";"01-01-2019";"31-12-2019";"Principal";"Centre Inria de Saclay";"UP Saclay - Laboratoire de Mathématiques d'Orsay (LMO)";"Terminée";"31/05/2019";"";"Sélection de modèles en apprentissage statistique";"Model selection in statistical learning";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Optimisation, apprentissage et méthodes statistiques";"Optimization, machine learning and statistical methods";"";"";"";"";"";"01/01/2019";"31/05/2019";"";"201923011J";"";"13211-C, 13573-F";"111031-0";"Modèles à structure cachée, classification supervisée, fiabilité, analyse de données de biopuces";"hidden structure models, supervised classification, Reliability, microarray data analysis";
"SR0443TR";"SEMAGRAMME";"Equipe";principal;"De groote";"Philippe";"";"";" (Non renseigné)";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"30/06/2013";"";"";"Semantic Analysis of Natural Language";"Perception, cognition, interaction";"Perception, Cognition, Interaction";"Langue, parole et audio";"Audio, Speech, and Language Processing";"CNRS, U. DE LORRAINE";"CNRS, Université de Lorraine";"";"LORIA [CNRS, INRIA]";"Laboratoire lorrain de recherche en informatique et ses applications (LORIA)";"01/01/2011";"30/06/2013";"13/10/2011";"201120979K";"";"7742-C, 8440-P";"051096-0";"linguistique computationnelle";"computational linguistics";
"SR0590XR";"SEMAGRAMME";"EP";principal;"De groote";"Philippe";"01-07-2013";"";"Principal";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Décision signée";"01/07/2013";"31/12/2024";"Analyse Sémantique de la Langue";"Semantic Analysis of Natural Language";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Langue, parole et audio";"Language, Speech and Audio";"CNRS, U. DE LORRAINE";"CNRS, Université de Lorraine";"INS2I";"LORIA [CNRS, INRIA]";"Laboratoire lorrain de recherche en informatique et ses applications (LORIA)";"01/07/2013";"31/12/2024";"13/10/2011, 08/10/2015, 02/10/2019";"201120979K";"";"9606-C, 11683-P, 14340-P, 16995-P";"051096-1";"linguistique computationnelle";"computational linguistics";
"SR0032ER";"SEQUEL";"EP";principal;"Preux";"Philippe";"01-07-2007";"";"Principal";"Centre Inria de l'Université de Lille";"Centre Inria de l'Université de Lille";"Terminée";"31/10/2020";"";"Sequential Learning";"Sequential Learning";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Optimisation, apprentissage et méthodes statistiques";"Optimization, machine learning and statistical methods";"UNIVERSITE DE LILLE";"Université de Lille";"INS2I";"CRISTAL [E. CENTRALE LILLE, U. LILLE 1 (USTL), U. LILLE 3 (UCDG), CNRS, INRIA]";"Centre de Recherche en Informatique, Signal et Automatique de Lille";"01/07/2007";"31/10/2020";"17/03/2010, 19/03/2014, 14/03/2018";"200718281V";"";"5807-C, 6251-R, 8031-P, 10552-P, 13244-P, 14043-P, 14230-P, 14358-F, 14543-P";"101021-0";"apprentissage automatique, apprentissage par renforcement, prise de décision dans l'incertain, bandits, méthodes de Monte Carlo, apprentissage statistique, méthodes à noyaux";"Machine learning, reinforcement learning, decision making under uncertainty, bandits,  Monte Carlo methods, statistical learningtheory, kernel methods";
"SR0031AR";"SEQUOIA";"EP";principal;"Koutcherov";"Grigory";"";"";"Principal";"Centre Inria de l'Université de Lille";"Centre Inria de l'Université de Lille";"Terminée";"31/12/2009";"";"Algorithmes pour analyse à grande échelle de séquences biologiques";"Algorithms for large-scale sequence analysis for molecular biology";"STIC pour les sciences de la vie et de l'environnement ";"Computational Sciences for Biology, Medicine and the Environment";"Biologie numérique et bioinformatique";"Computational Biology and Bioinformatics";"U. LILLE 1 (USTL), CNRS, U. LILLE 3 (UCDG)";"Université des sciences et technologies de Lille (Lille 1), CNRS, Université Charles de Gaulle (Lille 3)";"";"LIFL [U. LILLE 1 (USTL), CNRS, U. LILLE 3 (UCDG)]";"Laboratoire d'informatique fondamentale de Lille (LIFL)";"01/07/2007";"31/12/2009";"08/10/2009";"200718280U";"";"5808-C, 6252-R, 6675-CR, 6676-N, 7014-F";"101020-0";"bioinformatique, analyse de séquences, génomique comparative, ARN non codants,  peptides non-ribosomiaux, calcul haute performance";"bioinformatics, computational biology, sequence analysis, comparative genomics, noncoding RNAs, nonribosomal peptides, high performance computing";
"SR0422XR";"SEQUOIA2";"Equipe";principal;"Touzet";"Hélène";"";"";"Principal";"Centre Inria de l'Université de Lille";"Centre Inria de l'Université de Lille";"Terminée";"31/12/2010";"";"Algorithmes pour analyse à grande échelle de séquences biologiques";"Algorithms for large scale sequence analysis";"STIC pour les sciences de la vie et de l'environnement ";"Computational Sciences for Biology, Medicine and the Environment";"Biologie numérique et bioinformatique";"Computational Biology and Bioinformatics";"";"";"";"";"";"01/01/2010";"31/12/2010";"";"201021231N";"";"7063-C";"101030-0";"bioinformatique, biologie computationnelle, algorithmique discrète";"bioinformatics, computational biology, discrete algorithms";
"SR0701KR";"SERENA";"Equipe";principal;"Vohralík";"Martin";"01-06-2015";"";"Principal";"Centre Inria de Paris";"Rocquencourt";"Terminée";"31/03/2017";"";"Simulation for the Environment: Reliable and Efficient Numerical Algorithms";"Simulation for the Environment: Reliable and Efficient Numerical Algorithms";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Sciences de la planète, de l'environnement et de l'énergie";"Earth, Environmental and Energy Sciences";"";"";"";"";"";"01/06/2015";"31/03/2017";"";"201521772E";"";"11001-C, 11626-P, 11942-P";"021142-0";"écoulements multiphasiques de Darcy, écoulement de Navier?Stokes, milieu poreux, production d'énergie, couplages multi-physiques, schémas compatibles, géométrie, décomposition de domaine, estimations d'erreur a posteriori, adaptivité, fiabilité, efficacité, calcul parallèle, programmation fonctionnelle sûre et correcte, preuves de programmes";"multiphase Darcy flow, Navier?Stokes flow, porous media, energy production, multiphysics coupling, structure-preserving schemes, geometry, domain decomposition, a posteriori error estimates, adaptivity, reliability, efficiency, parallelization, safe and correct functional programming, proofs of programs";
"SR0784ZR";"SERENA";"EP";principal;"Vohralík";"Martin";"01-04-2017";"";"Principal";"Centre Inria de Paris";"Centre de recherche Inria de Paris";"Décision signée";"01/04/2017";"31/12/2027";"Simulation for the Environment: Reliable and Efficient Numerical Algorithms";"Simulation for the Environment: Reliable and Efficient Numerical Algorithms";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Sciences de la planète, de l'environnement et de l'énergie";"Earth, Environmental and Energy Sciences";"ECOLE DES PONTS PARISTECH (ENPC)";"Ecole des Ponts ParisTech";"";"CERMICS [ECOLE DES PONTS PARISTECH (ENPC)]";"Centre d'Enseignement et de Recherche en Mathématiques et Calcul Scientifique (CERMICS)";"01/04/2017";"31/12/2027";"13/03/2018, 01/12/2022";"201521772E";"";"12167-C, 13246-P, 15815-P, 16820-P";"021142-1";"approximation numérique des EDP, réduction de modèle, maillages polytopales, méthodes espace-temps, décomposition de domaine, multigrille, estimations a posteriori, robustesse, adaptivité, preuves formelles, formalisations en Coq, milieux poreux et fracturés, écoulement de Darcy multiphasique, écoulement de Navier-Stokes, transport réactif, stockage des déchets nucléaires, séquestration géologique du CO2, production d'énergie, mécanique numérique, élasticité et plasticité non linéaires, problèmes de contact";"numerical approximation of PDEs, model reduction, polytopal meshes, space-time methods, domain decomposition, multigrid, a posteriori estimates, robustness, adaptivity, formal proofs, Coq formalizations, porous and fractured media, multiphase Darcy flow, Navier?Stokes flow, reactive transport, nuclear waste disposal, geological sequestration of CO2, energy production, computational mechanics, nonlinear elasticity and plasticity, contact problems";
"SR0423LR";"SERPICO";"Equipe";principal;"Kervrann";"Charles";"";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"30/06/2013";"";"Modélisation spatio-temporelle, imagerie et dynamiques cellulaires des complexes moléculaires";"Space-timE RePresentation, Imaging and cellular dynamics of molecular COmplexes";"STIC pour les sciences de la vie et de l'environnement ";"Computational Sciences for Biology, Medicine and the Environment";"Biologie numérique et bioinformatique";"Computational Biology and Bioinformatics";"";"";"";"";"";"01/01/2010";"30/06/2013";"";"201320761P";"";"7068-C, 7655-P, 8335-P, 9049-P";"031089-0";"imagerie, microscopie optique et électronique, biologie cellulaire et moléculaire, transport membranaire";"imaging, optical and electron microscopy, cell and molecular biology, membrane transport";
"SR0582UR";"SERPICO";"EP";principal;"Kervrann";"Charles";"01-07-2013";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"31/03/2023";"";"Modélisation spatio-temporelle, imagerie et dynamiques cellulaires des complexes moléculaires";"Space-timE RePresentation, Imaging and cellular dynamics of molecular COmplexes";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Biologie numérique";"Computational Biology";"CNRS, INSTITUT CURIE";"CNRS, Institut Curie";"INS2I";"UMR 144 - COMPARTIMENTATION ET DYNAMIQUE CELLULAIRES [CNRS, INSTITUT CURIE, SORBONNE UNIVERSITE]";"UMR 144 - Compartimentation et dynamique cellulaires";"01/07/2013";"31/03/2023";"11/10/2017, 15/05/2022";"201320761P";"";"9464-C, 13243-P, 15193-P, 16128-F";"031089-1";"imagerie, microscopie optique et électronique, biologie cellulaire et moléculaire, transport membranaire";"imaging, optical and electron microscopy, cell and molecular biology, membrane transport";
